canon_code,canon_name,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022,Y2023,Y2024
2772025000,군위읍,,,,,,,,,,,,,,,,,,,,,,,,,,,8069.0,7803.0
2772031000,소보면,,,,,,,,,,,,,,,,,,,,,,,,,,,2317.0,2264.0
2772032000,효령면,,,,,,,,,,,,,,,,,,,,,,,,,,,3750.0,3657.0
2772033000,부계면,,,,,,,,,,,,,,,,,,,,,,,,,,,2094.0,2076.0
2772034000,우보면,,,,,,,,,,,,,,,,,,,,,,,,,,,1939.0,1917.0
2772035000,의흥면,,,,,,,,,,,,,,,,,,,,,,,,,,,2317.0,2257.0
2772036000,산성면,,,,,,,,,,,,,,,,,,,,,,,,,,,1188.0,1194.0
2772037000,삼국유사면,,,,,,,,,,,,,,,,,,,,,,,,,,,1314.0,1295.0
4374025000,영동읍,22661.0,22717.0,22847.0,22550.0,22263.0,22248.0,21835.0,21530.0,21267.0,20885.0,20600.0,21031.0,21218.0,21324.0,21653.0,21901.0,21876.0,22170.0,22293.0,22368.0,22256.0,22208.0,21746.0,20911.0,20163.0,19729.0,19449.0,19245.0
4374031000,용산면,4891.0,4840.0,4719.0,4597.0,4440.0,4195.0,4083.0,3943.0,3881.0,3823.0,3766.0,3715.0,3664.0,3714.0,3722.0,3670.0,3598.0,3655.0,3548.0,3530.0,3499.0,3451.0,3394.0,3298.0,3228.0,3286.0,3246.0,3204.0
4374032000,황간면,6282.0,6221.0,6149.0,5964.0,5760.0,5509.0,5280.0,5165.0,5055.0,4956.0,4801.0,4774.0,4746.0,4692.0,4693.0,4790.0,4765.0,4735.0,4735.0,4669.0,4646.0,4520.0,4424.0,4376.0,4208.0,4053.0,3986.0,3906.0
4374033500,추풍령면,3402.0,3369.0,3309.0,3178.0,3105.0,3038.0,2908.0,2820.0,2759.0,2690.0,2653.0,2614.0,2577.0,2597.0,2579.0,2515.0,2594.0,2568.0,2507.0,2481.0,2453.0,2400.0,2322.0,2300.0,2227.0,2230.0,2168.0,2137.0
4374034000,매곡면,2722.0,2640.0,2610.0,2529.0,2420.0,2333.0,2285.0,2206.0,2167.0,2144.0,2157.0,2143.0,2150.0,2112.0,2107.0,2131.0,2102.0,2101.0,2043.0,2083.0,2053.0,2022.0,1973.0,1943.0,1893.0,1874.0,1837.0,1796.0
4374035000,상촌면,3235.0,3178.0,3067.0,2980.0,2931.0,2819.0,2669.0,2606.0,2607.0,2547.0,2494.0,2425.0,2442.0,2494.0,2510.0,2470.0,2439.0,2473.0,2488.0,2478.0,2488.0,2431.0,2430.0,2388.0,2289.0,2232.0,2165.0,2141.0
4374036000,양강면,4554.0,4588.0,4526.0,4424.0,4185.0,4052.0,3922.0,3716.0,3656.0,3617.0,3616.0,3686.0,3714.0,3670.0,3548.0,3485.0,3463.0,3418.0,3451.0,3390.0,3324.0,3373.0,3319.0,3249.0,3119.0,3077.0,3001.0,2946.0
