canon_code,canon_name,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022,Y2023,Y2024
2772025000,군위읍,9787,9737,9881,10058,10104,10000,9149,9006,8602,8389,8178,8020,7931,7957,7857,7905,8063,8193,8428,8387,8433,8447,8413,8193,8161,8275,8069,7803
2772031000,소보면,3404,3395,3412,3428,3539,3236,3150,3174,3122,2900,2716,2698,2643,2607,2528,2481,2476,2458,2395,2438,2402,2328,2307,2317,2253,2296,2317,2264
2772032000,효령면,4971,4850,4939,5075,5482,4969,4736,4706,4516,4362,4248,4211,4192,4158,4102,4049,3992,3981,3962,3987,3966,3874,3837,3768,3753,3821,3750,3657
2772033000,부계면,2941,2863,2929,2939,3085,2780,2630,2472,2455,2377,2288,2293,2232,2149,2080,2058,2063,2056,2046,2034,1982,1989,2042,2042,2011,2093,2094,2076
2772034000,우보면,2911,2825,2855,2868,2974,2900,2687,2501,2414,2289,2248,2207,2221,2213,2181,2176,2173,2139,2067,2106,2220,2150,2134,2007,1933,1971,1939,1917
2772035000,의흥면,3828,3730,3641,3820,4107,3512,3327,3270,3145,3073,2990,2906,2876,2816,2809,2802,2780,2725,2648,2623,2610,2502,2495,2385,2356,2365,2317,2257
2772036000,산성면,2012,1947,1980,2066,2225,1956,1748,1617,1564,1509,1465,1432,1393,1393,1329,1302,1298,1312,1262,1258,1275,1269,1250,1189,1182,1211,1188,1194
2772037000,삼국유사면,2209,2143,2209,2383,2539,2301,2335,2079,1891,1788,1648,1542,1478,1443,1382,1346,1327,1306,1318,1338,1327,1360,1365,1355,1296,1308,1314,1295
4374025000,영동읍,22661,22717,22847,22550,22263,22248,21835,21530,21267,20885,20600,21031,21218,21324,21653,21901,21876,22170,22293,22368,22256,22208,21746,20911,20163,19729,19449,19245
4374031000,용산면,4891,4840,4719,4597,4440,4195,4083,3943,3881,3823,3766,3715,3664,3714,3722,3670,3598,3655,3548,3530,3499,3451,3394,3298,3228,3286,3246,3204
4374032000,황간면,6282,6221,6149,5964,5760,5509,5280,5165,5055,4956,4801,4774,4746,4692,4693,4790,4765,4735,4735,4669,4646,4520,4424,4376,4208,4053,3986,3906
4374033500,추풍령면,3402,3369,3309,3178,3105,3038,2908,2820,2759,2690,2653,2614,2577,2597,2579,2515,2594,2568,2507,2481,2453,2400,2322,2300,2227,2230,2168,2137
4374034000,매곡면,2722,2640,2610,2529,2420,2333,2285,2206,2167,2144,2157,2143,2150,2112,2107,2131,2102,2101,2043,2083,2053,2022,1973,1943,1893,1874,1837,1796
4374035000,상촌면,3235,3178,3067,2980,2931,2819,2669,2606,2607,2547,2494,2425,2442,2494,2510,2470,2439,2473,2488,2478,2488,2431,2430,2388,2289,2232,2165,2141
4374036000,양강면,4554,4588,4526,4424,4185,4052,3922,3716,3656,3617,3616,3686,3714,3670,3548,3485,3463,3418,3451,3390,3324,3373,3319,3249,3119,3077,3001,2946
4374037000,용화면,1233,1250,1191,1125,1106,1072,1061,1020,989,980,989,981,1011,1019,1057,1054,1047,1053,1061,1058,1069,1010,988,1014,973,958,948,914
4374038000,학산면,4575,4480,4308,4135,3995,3826,3612,3434,3319,3274,3216,3127,3130,3151,3077,3031,3032,3003,2970,2967,2977,2941,2865,2852,2739,2685,2659,2591
4374039000,양산면,2834,2881,2768,2682,2623,2495,2357,2259,2241,2187,2153,2132,2113,2117,2079,2066,2092,2100,2058,2012,1981,1935,1895,1872,1799,1784,1758,1732
4374040000,심천면,4816,4726,4600,4463,4356,4165,4024,3898,3859,3716,3686,3648,3661,3633,3596,3550,3531,3527,3539,3516,3494,3424,3382,3272,3135,3048,2978,2939
4711125000,구룡포읍,16000,15509,15040,14542,14515,13914,13509,13052,12558,12093,11618,11232,10741,10552,10164,9838,9607,9264,8900,8670,8400,8177,7885,7568,7335,7083,6827,6629
4711125300,연일읍,23682,26605,29938,31255,32223,32363,32400,32455,32081,31976,32944,34083,34372,34722,35329,35209,34871,34520,34246,33859,33375,32478,31611,30633,30278,29834,29134,28096
4711125600,오천읍,39152,38902,39074,39369,39973,41945,41970,41486,41462,41441,42801,43648,45065,48116,49116,50084,50805,52864,53743,55954,56811,56115,55622,54839,56185,55864,57679,57405
