"A 행정구역(동읍면)별","13999001 항목",Y2011 2011,Y2012 2012,Y2013 2013,Y2014 2014,Y2015 2015,Y2016 2016,Y2017 2017,Y2018 2018,Y2019 2019,Y2020 2020,Y2021 2021,Y2022 2022,Y2023 2023,Y2024 2024
"A 행정구역(동읍면)별","13999001 항목",0 계,0 계,0 계,0 계,0 계,0 계,0 계,0 계,0 계,0 계,0 계,0 계,0 계,0 계
"27720 군위군","T2 총인구수 (14STD04553 명)",-,-,-,-,-,-,-,-,-,-,-,-,22988,22463
"2772025000 군위읍","T2 총인구수 (14STD04553 명)",-,-,-,-,-,-,-,-,-,-,-,-,8069,7803
"2772031000 소보면","T2 총인구수 (14STD04553 명)",-,-,-,-,-,-,-,-,-,-,-,-,2317,2264
"2772032000 효령면","T2 총인구수 (14STD04553 명)",-,-,-,-,-,-,-,-,-,-,-,-,3750,3657
"2772033000 부계면","T2 총인구수 (14STD04553 명)",-,-,-,-,-,-,-,-,-,-,-,-,2094,2076
"2772034000 우보면","T2 총인구수 (14STD04553 명)",-,-,-,-,-,-,-,-,-,-,-,-,1939,1917
"2772035000 의흥면","T2 총인구수 (14STD04553 명)",-,-,-,-,-,-,-,-,-,-,-,-,2317,2257
"2772036000 산성면","T2 총인구수 (14STD04553 명)",-,-,-,-,-,-,-,-,-,-,-,-,1188,1194
"2772037000 삼국유사면","T2 총인구수 (14STD04553 명)",-,-,-,-,-,-,-,-,-,-,-,-,1314,1295
"43740 영동군","T2 총인구수 (14STD04553 명)",50621,50663,50539,50803,50693,50552,50240,49715,48738,47475,45773,44956,44195,43551
"4374025000 영동읍","T2 총인구수 (14STD04553 명)",21653,21901,21876,22170,22293,22368,22256,22208,21746,20911,20163,19729,19449,19245
"4374031000 용산면","T2 총인구수 (14STD04553 명)",3722,3670,3598,3655,3548,3530,3499,3451,3394,3298,3228,3286,3246,3204
"4374032000 황간면","T2 총인구수 (14STD04553 명)",4693,4790,4765,4735,4735,4669,4646,4520,4424,4376,4208,4053,3986,3906
"4374033500 추풍령면","T2 총인구수 (14STD04553 명)",2579,2515,2594,2568,2507,2481,2453,2400,2322,2300,2227,2230,2168,2137
"4374034000 매곡면","T2 총인구수 (14STD04553 명)",2107,2131,2102,2101,2043,2083,2053,2022,1973,1943,1893,1874,1837,1796
"4374035000 상촌면","T2 총인구수 (14STD04553 명)",2510,2470,2439,2473,2488,2478,2488,2431,2430,2388,2289,2232,2165,2141
"4374036000 양강면","T2 총인구수 (14STD04553 명)",3548,3485,3463,3418,3451,3390,3324,3373,3319,3249,3119,3077,3001,2946
"4374037000 용화면","T2 총인구수 (14STD04553 명)",1057,1054,1047,1053,1061,1058,1069,1010,988,1014,973,958,948,914
"4374038000 학산면","T2 총인구수 (14STD04553 명)",3077,3031,3032,3003,2970,2967,2977,2941,2865,2852,2739,2685,2659,2591
"4374039000 양산면","T2 총인구수 (14STD04553 명)",2079,2066,2092,2100,2058,2012,1981,1935,1895,1872,1799,1784,1758,1732
"4374040000 심천면","T2 총인구수 (14STD04553 명)",3596,3550,3531,3527,3539,3516,3494,3424,3382,3272,3135,3048,2978,2939
"47 경상북도","T2 총인구수 (14STD04553 명)",2699195,2698353,2699440,2700794,2702826,2700398,2691706,2676831,2665836,2639422,2626609,2600492,2554324,2531384
"4711125000 구룡포읍","T2 총인구수 (14STD04553 명)",10164,9838,9607,9264,8900,8670,8400,8177,7885,7568,7335,7083,6827,6629
"4711125300 연일읍","T2 총인구수 (14STD04553 명)",35329,35209,34871,34520,34246,33859,33375,32478,31611,30633,30278,29834,29134,28096
"4711125600 오천읍","T2 총인구수 (14STD04553 명)",49116,50084,50805,52864,53743,55954,56811,56115,55622,54839,56185,55864,57679,57405
"4711131000 대송면","T2 총인구수 (14STD04553 명)",5277,5046,4868,4657,4436,4207,4041,3820,3638,3500,3396,3326,3220,3102
"4711132000 동해면","T2 총인구수 (14STD04553 명)",11878,11512,11029,10517,10150,9876,9569,9947,9967,9908,9763,9695,9503,9234
"4711133000 장기면","T2 총인구수 (14STD04553 명)",5348,5226,5051,4924,4746,4579,4522,4369,4239,4117,4038,3955,3861,3737
"4711135000 호미곶면","T2 총인구수 (14STD04553 명)",2477,2403,2353,2242,2215,2139,2100,2038,1968,1887,1871,1790,1718,1689
"4711152500 상대동","T2 총인구수 (14STD04553 명)",28867,28331,28239,27934,28686,27988,27417,26347,25632,24820,24717,24404,23954,22943
"4711154500 해도동","T2 총인구수 (14STD04553 명)",22880,22072,21512,20768,20302,19895,19318,18534,17883,17256,17140,16893,16537,15994
"4711155000 송도동","T2 총인구수 (14STD04553 명)",18088,17477,16757,16158,15486,14909,14391,13703,13037,12507,12172,11929,11608,11214
"4711156000 청림동","T2 총인구수 (14STD04553 명)",7098,6823,6721,6473,6273,5928,5661,5336,4929,4694,4736,4630,4822,4654
"4711157000 제철동","T2 총인구수 (14STD04553 명)",3438,3441,3404,3242,3365,3266,3297,3186,3070,2839,3007,2797,2593,2313
"4711158000 효곡동","T2 총인구수 (14STD04553 명)",30700,31990,32348,32076,31999,32046,31960,31247,31017,30440,30598,30182,29941,29450
"4711159000 대이동","T2 총인구수 (14STD04553 명)",21896,21982,22144,22010,21898,21432,21607,24103,25135,25414,25565,25104,24881,24153
"4711325000 흥해읍","T2 총인구수 (14STD04553 명)",36260,35590,34974,34301,34133,34505,33845,34351,40222,40604,40958,40382,40732,53661
"4711331000 신광면","T2 총인구수 (14STD04553 명)",3206,3075,3070,3025,3026,2974,2978,2925,2884,2873,2928,2882,2836,2746
"4711332000 청하면","T2 총인구수 (14STD04553 명)",5737,5540,5408,5313,5314,5275,5190,5021,4909,4827,4760,4665,4570,4440
"4711333000 송라면","T2 총인구수 (14STD04553 명)",3009,2949,2907,2846,2815,2771,2717,2682,2625,2490,2499,2461,2415,2324
"4711334000 기계면","T2 총인구수 (14STD04553 명)",5570,5518,5516,5446,5368,5298,5243,5207,5113,4920,4968,4981,4894,4767
"4711335000 죽장면","T2 총인구수 (14STD04553 명)",2874,2219,2227,2232,2215,2229,2227,2233,2173,2126,2140,2126,2067,2038
"4711335500 죽장면상옥출장소","T2 총인구수 (14STD04553 명)",-,640,647,666,697,666,663,630,601,593,609,626,617,605
"4711336000 기북면","T2 총인구수 (14STD04553 명)",1347,1296,1288,1322,1314,1332,1336,1328,1305,1290,1310,1309,1299,1292
"4711352000 중앙동","T2 총인구수 (14STD04553 명)",19155,18796,18264,17728,17323,17071,16611,16846,16415,15743,15484,14924,14603,13874
"4711363000 양학동","T2 총인구수 (14STD04553 명)",20422,20021,19629,20017,19625,19443,19220,18328,17776,17199,16808,16342,16953,16547
"4711365500 죽도동","T2 총인구수 (14STD04553 명)",22663,22445,21963,21737,21726,21478,21532,20716,20160,19707,19951,19785,19472,18760
"4711366500 용흥동","T2 총인구수 (14STD04553 명)",26300,25932,25332,24708,25268,25239,24766,23980,23117,22295,21936,21651,21088,19981
"4711368000 우창동","T2 총인구수 (14STD04553 명)",28605,28344,29172,28987,28175,27916,27423,31809,32337,32339,33437,33084,32867,31644
"4711369000 두호동","T2 총인구수 (14STD04553 명)",26527,26164,25689,25253,24757,23401,22659,21797,21122,23189,23048,22551,22152,21360
"4711370000 장량동","T2 총인구수 (14STD04553 명)",51015,57223,62031,66591,70123,71350,74226,72526,70741,72758,72666,72065,71053,68177
"4711371000 환여동","T2 총인구수 (14STD04553 명)",11842,11727,11641,11547,11260,11079,10727,10234,9892,9541,9549,9330,9137,8752
"4713025000 감포읍","T2 총인구수 (14STD04553 명)",6619,6438,6306,6174,6013,5922,5828,5722,5624,5501,5391,5347,5253,5163
"4713025300 안강읍","T2 총인구수 (14STD04553 명)",30949,30478,30132,29756,28866,28355,27672,26696,25878,25017,24083,23568,23199,22506
"4713025600 건천읍","T2 총인구수 (14STD04553 명)",11300,11162,11022,10863,10663,10529,10485,10035,9688,9502,9233,9133,9001,10138
"4713025900 외동읍","T2 총인구수 (14STD04553 명)",16398,16342,16707,16782,16647,16688,16541,17899,18649,20431,22159,22179,21850,21567
"4713031000 양북면","T2 총인구수 (14STD04553 명)",4287,4213,4119,3979,4472,4785,4423,4535,4446,4327,-,-,-,-
"4713031500 문무대왕면","T2 총인구수 (14STD04553 명)",-,-,-,-,-,-,-,-,-,-,4214,4097,4157,4066
"4713032000 양남면","T2 총인구수 (14STD04553 명)",6942,6760,6883,6883,6582,6596,6580,6567,6383,6322,6277,6324,6381,6369
"4713033000 내남면","T2 총인구수 (14STD04553 명)",5554,5403,5286,5193,5136,5195,5106,4996,4877,4712,4684,4577,4534,4434
"4713034000 산내면","T2 총인구수 (14STD04553 명)",3346,3353,3360,3306,3323,3372,3330,3314,3272,3268,3230,3225,3218,3173
"4713035000 서면","T2 총인구수 (14STD04553 명)",3805,3741,3698,3656,3661,3629,3559,3438,3329,3219,3116,3084,3031,2978
"4713036000 현곡면","T2 총인구수 (14STD04553 명)",16547,16539,16418,16196,16196,16018,15813,17930,21527,21947,21699,21588,21282,21874
"4713037000 강동면","T2 총인구수 (14STD04553 명)",7648,7526,7424,7225,7173,7032,6951,6777,6535,6323,6078,6012,6056,5925
"4713038000 천북면","T2 총인구수 (14STD04553 명)",5692,5539,5409,5447,5248,5110,4968,5336,5485,5730,5677,5747,5707,5532
"4713051500 중부동","T2 총인구수 (14STD04553 명)",6587,6399,6214,6254,6314,6309,6156,5843,5548,5308,5096,4905,4712,4585
"4713053000 황오동","T2 총인구수 (14STD04553 명)",8945,8646,8354,8228,8045,7796,7489,7204,6863,6567,6307,6039,5866,5666
"4713055000 성건동","T2 총인구수 (14STD04553 명)",17648,17536,17526,17519,17320,17017,16372,15442,14525,14047,13647,13729,13481,12947
"4713057000 황남동","T2 총인구수 (14STD04553 명)",7672,7322,7056,6730,6561,6288,5995,5469,5183,4779,4485,4258,4034,3815
"4713059000 선도동","T2 총인구수 (14STD04553 명)",14549,15010,15104,15195,15890,16064,15728,15406,15102,14914,14685,14648,14444,14145
"4713060500 월성동","T2 총인구수 (14STD04553 명)",7130,7179,6805,6780,6753,6571,6475,6249,6092,5925,5836,5713,5610,5445
"4713061500 용강동","T2 총인구수 (14STD04553 명)",16411,17337,18544,18678,18625,18401,21619,21900,21632,22521,24072,23988,25457,25228
"4713062100 황성동","T2 총인구수 (14STD04553 명)",29426,29253,28994,28989,28847,30557,29454,29816,29665,28837,28310,27940,27456,27197
