"unit_id","center_sgg","ref_center","emd_count","included_emd"
"Control_47113_청하면","47113","청하면",15,"기계면, 기북면, 두호동, 송라면, 신광면, 양학동, 용흥동, 우창동, 장량동, 죽도동, 죽장면, 중앙동, 청하면, 환여동, 흥해읍"
"Control_47280_영순면","47280","영순면",14,"가은읍, 농암면, 동로면, 마성면, 문경읍, 산북면, 산양면, 영순면, 점촌1동, 점촌2동, 점촌3동, 점촌4동, 점촌5동, 호계면"
"Control_47230_청통면","47230","청통면",16,"고경면, 금호읍, 남부동, 대창면, 동부동, 북안면, 서부동, 신녕면, 완산동, 임고면, 자양면, 중앙동, 청통면, 화남면, 화북면, 화산면"
"Control_47130_서면","47130","서면",23,"감포읍, 강동면, 건천읍, 내남면, 동천동, 문무대왕면, 보덕동, 불국동, 산내면, 서면, 선도동, 성건동, 안강읍, 양남면, 외동읍, 용강동, 월성동, 중부동, 천북면, 현곡면, 황남동, 황성동, 황오동"
"Control_47820_풍각면","47820","풍각면",9,"각남면, 각북면, 금천면, 매전면, 운문면, 이서면, 청도읍, 풍각면, 화양읍"
"Control_47170_풍산읍","47170","풍산읍",23,"강남동, 길안면, 남선면, 남후면, 녹전면, 도산면, 명륜동, 북후면, 서후면, 송하동, 안기동, 예안면, 옥동, 와룡면, 용상동, 일직면, 임동면, 임하면, 중구동, 태화동, 평화동, 풍산읍, 풍천면"
"Control_47210_안정면","47210","안정면",19,"가흥1동, 가흥2동, 단산면, 문수면, 봉현면, 부석면, 상망동, 순흥면, 안정면, 영주1동, 영주2동, 이산면, 장수면, 평은면, 풍기읍, 하망동, 휴천1동, 휴천2동, 휴천3동"
"Control_47730_금성면","47730","금성면",18,"가음면, 구천면, 금성면, 다인면, 단밀면, 단북면, 단촌면, 봉양면, 비안면, 사곡면, 신평면, 안계면, 안사면, 안평면, 옥산면, 의성읍, 점곡면, 춘산면"
"Control_47900_유천면","47900","유천면",12,"감천면, 개포면, 보문면, 예천읍, 용궁면, 용문면, 유천면, 은풍면, 지보면, 풍양면, 호명면, 효자면"
"Control_47930_평해읍","47930","평해읍",10,"근남면, 금강송면, 기성면, 매화면, 북면, 온정면, 울진읍, 죽변면, 평해읍, 후포면"
"Control_47830_성산면","47830","성산면",8,"개진면, 다산면, 대가야읍, 덕곡면, 성산면, 쌍림면, 우곡면, 운수면"
"Control_27720_군위읍","27720","군위읍",8,"군위읍, 부계면, 산성면, 삼국유사면, 소보면, 우보면, 의흥면, 효령면"
"Control_47290_남산면","47290","남산면",14,"남부동, 남산면, 남천면, 동부동, 북부동, 서부1동, 압량면, 와촌면, 용성면, 자인면, 중방동, 중앙동, 진량읍, 하양읍"
"Control_47770_영해면","47770","영해면",9,"강구면, 남정면, 달산면, 병곡면, 영덕읍, 영해면, 지품면, 창수면, 축산면"
"Control_47111_호미곶면","47111","호미곶면",14,"구룡포읍, 대송면, 대이동, 동해면, 상대동, 송도동, 연일읍, 오천읍, 장기면, 제철동, 청림동, 해도동, 호미곶면, 효곡동"
"Control_47920_봉화읍","47920","봉화읍",10,"명호면, 물야면, 법전면, 봉성면, 봉화읍, 상운면, 석포면, 소천면, 재산면, 춘양면"
